Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
2023-03-01,7:00p,Phoenix Suns,105.0,Charlotte Hornets,91.0,Box Score,,19137.0,Spectrum Center,
2023-03-01,7:00p,Chicago Bulls,117.0,Detroit Pistons,115.0,Box Score,,18098.0,Little Caesars Arena,
2023-03-01,7:30p,Cleveland Cavaliers,113.0,Boston Celtics,117.0,Box Score,,19156.0,TD Garden,
2023-03-01,7:30p,Philadelphia 76ers,119.0,Miami Heat,96.0,Box Score,,19600.0,Kaseya Center,
2023-03-01,7:30p,Brooklyn Nets,118.0,New York Knicks,142.0,Box Score,,19812.0,Madison Square Garden (IV),
2023-03-01,8:00p,Memphis Grizzlies,113.0,Houston Rockets,99.0,Box Score,,15919.0,Toyota Center,
2023-03-01,8:00p,Orlando Magic,117.0,Milwaukee Bucks,139.0,Box Score,,17354.0,Fiserv Forum,
2023-03-01,8:00p,Los Angeles Lakers,123.0,Oklahoma City Thunder,117.0,Box Score,,17114.0,Paycom Center,
2023-03-01,10:00p,New Orleans Pelicans,121.0,Portland Trail Blazers,110.0,Box Score,,18566.0,Moda Center,
2023-03-02,7:00p,Toronto Raptors,108.0,Washington Wizards,119.0,Box Score,,14643.0,Capital One Arena,
2023-03-02,7:30p,Philadelphia 76ers,126.0,Dallas Mavericks,133.0,Box Score,,20002.0,American Airlines Center,
2023-03-02,8:30p,Indiana Pacers,99.0,San Antonio Spurs,110.0,Box Score,,14617.0,AT&T Center,
2023-03-02,10:00p,Los Angeles Clippers,91.0,Golden State Warriors,115.0,Box Score,,18064.0,Chase Center,
2023-03-03,7:00p,Orlando Magic,117.0,Charlotte Hornets,106.0,Box Score,,16683.0,Spectrum Center,
2023-03-03,7:30p,Portland Trail Blazers,111.0,Atlanta Hawks,129.0,Box Score,,17521.0,State Farm Arena,
2023-03-03,7:30p,Brooklyn Nets,115.0,Boston Celtics,105.0,Box Score,,19156.0,TD Garden,
2023-03-03,8:00p,Phoenix Suns,125.0,Chicago Bulls,104.0,Box Score,,21169.0,United Center,
2023-03-03,8:00p,New York Knicks,122.0,Miami Heat,120.0,Box Score,,19600.0,Kaseya Center,
2023-03-03,8:00p,Utah Jazz,103.0,Oklahoma City Thunder,130.0,Box Score,,16538.0,Paycom Center,
2023-03-03,10:00p,Memphis Grizzlies,97.0,Denver Nuggets,113.0,Box Score,,19641.0,Ball Arena,
2023-03-03,10:00p,New Orleans Pelicans,99.0,Golden State Warriors,108.0,Box Score,,18064.0,Chase Center,
2023-03-03,10:00p,Los Angeles Clippers,127.0,Sacramento Kings,128.0,Box Score,,18111.0,Golden 1 Center,
